Date,Platform,Progression Tier,IAP,Conversion (1st spend),Price
13/07/2021,Android,1,skin,1,0.99
13/07/2021,Android,5,gemPackage3,1,18.00
13/07/2021,iOS,3,gemPackage2,1,9.00
13/07/2021,Android,7,gemPackage2,0,9.00
13/07/2021,Android,2,promogems1,1,4.00
13/07/2021,Android,3,gemPackage2,1,9.00
13/07/2021,iOS,8,splashPassBundle,0,18.00
13/07/2021,Android,4,gemPackage2,1,9.00
13/07/2021,Android,7,splashPassOnly,0,14.00
13/07/2021,Android,7,gemPackage2,0,9.00
13/07/2021,Android,2,gemPackage1,1,4.00
13/07/2021,Android,7,coinPackage1,0,4.00
13/07/2021,Android,6,gemPackage2,0,9.00
13/07/2021,iOS,3,gemPackage1,1,4.00
13/07/2021,iOS,1,gemPackage1,0,4.00
13/07/2021,Android,6,gemPackage2,1,9.00
13/07/2021,iOS,3,gemPackage2,0,9.00
13/07/2021,iOS,3,gemPackage1,1,4.00
13/07/2021,Android,6,gemPackage1,1,4.00
13/07/2021,iOS,8,splashPassOnly,0,14.00
13/07/2021,iOS,7,gemPackage2,1,9.00
13/07/2021,Android,4,gemPackage1,1,4.00
13/07/2021,Android,8,splashPassOnly,0,14.00
13/07/2021,iOS,3,gemPackage2,1,9.00
13/07/2021,Android,4,promogems7,1,1.00
13/07/2021,Android,7,gemPackage2,0,9.00
13/07/2021,iOS,3,gemPackage2,1,9.00
13/07/2021,Android,4,gemPackage2,1,9.00
13/07/2021,iOS,4,gemPackage2,1,9.00
13/07/2021,Android,5,gemPackage1,1,4.00
13/07/2021,iOS,1,gemPackage3,1,18.00
13/07/2021,iOS,1,gemPackage2,1,9.00
13/07/2021,iOS,6,gemPackage1,0,4.00
13/07/2021,Android,6,promogems7,1,1.00
13/07/2021,Android,4,gemPackage2,1,9.00
13/07/2021,iOS,7,gemPackage1,0,4.00
13/07/2021,iOS,8,splashPassBundle,0,18.00
13/07/2021,iOS,2,promogems1,1,4.00
13/07/2021,Android,1,gemPackage2,1,9.00
13/07/2021,Android,3,gemPackage2,1,9.00
13/07/2021,iOS,3,gemPackage3,1,18.00
13/07/2021,iOS,2,gemPackage1,1,4.00
13/07/2021,Android,1,skin,1,0.99
13/07/2021,iOS,2,gemPackage1,1,4.00
13/07/2021,iOS,8,gemPackage2,0,9.00
13/07/2021,Android,6,gemPackage2,1,9.00
13/07/2021,iOS,2,gemPackage1,1,4.00
13/07/2021,iOS,8,gemPackage3,0,18.00
13/07/2021,Android,3,gemPackage1,0,4.00
13/07/2021,iOS,1,gemPackage2,1,9.00
13/07/2021,Android,3,coinPackage1,1,4.00
13/07/2021,iOS,7,gemPackage2,1,9.00
13/07/2021,iOS,1,promogems1,1,4.00
13/07/2021,Android,1,skin,1,0.99
13/07/2021,iOS,8,promogems4,0,45.99
13/07/2021,Android,1,gemPackage1,1,4.00
13/07/2021,iOS,7,gemPackage1,0,4.00
13/07/2021,Android,8,promogems4,0,45.99
13/07/2021,Android,2,gemPackage1,1,4.00
13/07/2021,iOS,8,gemPackage1,0,4.00
13/07/2021,Android,7,splashPassBundle,0,18.00
13/07/2021,Android,7,gemPackage1,1,4.00
13/07/2021,Android,4,gemPackage3,0,18.00
13/07/2021,iOS,1,gemPackage2,1,9.00
13/07/2021,iOS,2,gemPackage4,1,45.00
13/07/2021,Android,2,gemPackage1,0,4.00
13/07/2021,iOS,4,gemPackage2,1,9.00
13/07/2021,iOS,2,gemPackage2,1,9.00
13/07/2021,Android,4,gemPackage2,0,9.00
13/07/2021,iOS,7,coinPackage1,0,4.00
13/07/2021,iOS,1,gemPackage2,1,9.00
