Platform,Date,Country,Spenders,Conversions (1st spends),IAP revenue,Ad views,Sessions,Downloads,DAU,ARPDAU ,ARPPU,Daily Conversion Rate,1st Spends Conversion Rate
iOS,03/06/2022,SK,0,0,0,366,486,7,128,0.00,0.00,0.00%,0.00%
Android,03/06/2022,CZ,0,0,0,2598,3782,205,1183,0.00,0.00,0.00%,0.00%
Android,03/06/2022,IT,3,1,276,12325,16384,716,5347,0.05,92.00,0.06%,33.33%
Android,03/06/2022,AR,0,0,0,8132,14453,760,4028,0.00,0.00,0.00%,0.00%
Android,03/06/2022,TT,0,0,0,239,720,29,210,0.00,0.00,0.00%,0.00%
Android,03/06/2022,NL,1,0,60,2387,3172,184,1217,0.05,60.00,0.08%,0.00%
Android,03/06/2022,CO,0,0,0,5960,11906,755,3373,0.00,0.00,0.00%,0.00%
Android,03/06/2022,PL,3,2,24,8878,9848,562,3127,0.01,8.00,0.10%,66.67%
Android,03/06/2022,ES,2,1,72,11628,14080,638,4981,0.01,36.00,0.04%,50.00%
iOS,03/06/2022,TR,1,0,24,4612,6904,320,1960,0.01,24.00,0.05%,0.00%
Android,03/06/2022,PA,0,0,0,440,1512,84,337,0.00,0.00,0.00%,0.00%
Android,03/06/2022,KR,10,8,744,38753,22494,1669,8098,0.09,74.40,0.12%,80.00%
Android,03/06/2022,MX,7,2,222,18331,40433,2044,10506,0.02,31.71,0.07%,28.57%
iOS,03/06/2022,CA,3,2,36,7079,11753,419,3680,0.01,12.00,0.08%,66.67%
Android,03/06/2022,BO,0,0,0,835,1718,94,416,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,PH,1,1,12,4645,9062,332,1868,0.01,12.00,0.05%,100.00%
iOS,03/06/2022,PL,0,0,0,810,1367,62,406,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,TH,1,1,12,4688,6024,148,1715,0.01,12.00,0.06%,100.00%
Android,03/06/2022,HR,0,0,0,1318,1902,72,599,0.00,0.00,0.00%,0.00%
Android,03/06/2022,GR,0,0,0,2215,3392,139,1012,0.00,0.00,0.00%,0.00%
Android,03/06/2022,IQ,0,0,0,239,456,24,127,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,RU,2,2,36,15503,15716,628,4213,0.01,18.00,0.05%,100.00%
Android,03/06/2022,MY,0,0,0,9407,12240,626,3014,0.00,0.00,0.00%,0.00%
Android,03/06/2022,FR,4,3,72,16490,16763,637,5400,0.01,18.00,0.07%,75.00%
iOS,03/06/2022,NZ,0,0,0,2050,2416,47,803,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,TW,2,0,162,7870,5729,161,1576,0.10,81.00,0.13%,0.00%
iOS,03/06/2022,IR,0,0,0,24,2063,0,432,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,MX,5,4,48,5082,7480,179,1891,0.03,9.60,0.26%,80.00%
Android,03/06/2022,BA,0,0,0,186,618,41,198,0.00,0.00,0.00%,0.00%
Android,03/06/2022,DO,0,0,0,838,2370,158,616,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,DO,0,0,0,269,382,16,108,0.00,0.00,0.00%,0.00%
Android,03/06/2022,GB,13,9,432,11244,15098,479,4519,0.10,33.23,0.29%,69.23%
Android,03/06/2022,VN,0,0,0,24161,30170,3302,11005,0.00,0.00,0.00%,0.00%
Android,03/06/2022,HU,0,0,0,2203,3286,174,1034,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,MA,0,0,0,323,439,0,125,0.00,0.00,0.00%,0.00%
Android,03/06/2022,AU,3,1,42,4790,5484,270,1754,0.02,14.00,0.17%,33.33%
iOS,03/06/2022,VN,0,0,0,8747,13241,600,3803,0.00,0.00,0.00%,0.00%
Android,03/06/2022,EG,0,0,0,2299,6488,492,1301,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,GY,0,0,0,24,28,0,8,0.00,0.00,0.00%,0.00%
Android,03/06/2022,SG,1,1,30,1590,1931,72,664,0.05,30.00,0.15%,100.00%
Android,03/06/2022,CL,1,1,24,5574,9451,544,2677,0.01,24.00,0.04%,100.00%
iOS,03/06/2022,KW,2,1,144,757,1933,25,472,0.31,72.00,0.42%,50.00%
Android,03/06/2022,PH,1,1,240,10202,22636,1328,4752,0.05,240.00,0.02%,100.00%
Android,03/06/2022,ID,1,1,6,25328,42221,2444,9473,0.00,6.00,0.01%,100.00%
iOS,03/06/2022,PR,0,0,0,191,475,0,140,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,IQ,0,0,0,594,1736,0,416,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,BY,0,0,0,278,353,5,112,0.00,0.00,0.00%,0.00%
Android,03/06/2022,CH,1,0,6,1279,1500,56,497,0.01,6.00,0.20%,0.00%
Android,03/06/2022,BS,0,0,0,257,380,22,100,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,GH,0,0,0,2,16,0,5,0.00,0.00,0.00%,0.00%
Android,03/06/2022,CY,0,0,0,156,425,12,118,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,CR,0,0,0,149,284,11,82,0.00,0.00,0.00%,0.00%
Android,03/06/2022,NZ,1,1,6,1386,1720,95,586,0.01,6.00,0.17%,100.00%
Android,03/06/2022,DZ,0,0,0,1357,2572,137,563,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,NO,1,1,12,1538,1861,56,655,0.02,12.00,0.15%,100.00%
Android,03/06/2022,VE,1,0,48,510,1816,71,510,0.09,48.00,0.20%,0.00%
iOS,03/06/2022,IL,0,0,0,842,1366,37,466,0.00,0.00,0.00%,0.00%
Android,03/06/2022,IL,0,0,0,2575,3335,214,1180,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,ID,3,3,162,3097,4030,131,995,0.16,54.00,0.30%,100.00%
Android,03/06/2022,AE,0,0,0,2158,2114,119,631,0.00,0.00,0.00%,0.00%
Android,03/06/2022,SK,0,0,0,829,1322,96,438,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,AE,10,6,600,2050,3617,120,1142,0.53,60.00,0.88%,60.00%
Android,03/06/2022,AT,0,0,0,2740,2968,128,842,0.00,0.00,0.00%,0.00%
Android,03/06/2022,CW,0,0,0,22,32,0,6,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,AR,0,0,0,448,652,18,212,0.00,0.00,0.00%,0.00%
Android,03/06/2022,GE,0,0,0,97,176,5,55,0.00,0.00,0.00%,0.00%
Android,03/06/2022,LT,1,1,12,630,1132,73,379,0.03,12.00,0.26%,100.00%
Android,03/06/2022,MK,0,0,0,262,343,23,112,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,AL,0,0,0,119,222,6,67,0.00,0.00,0.00%,0.00%
Android,03/06/2022,SE,1,1,6,1531,2238,98,764,0.01,6.00,0.13%,100.00%
iOS,03/06/2022,PK,0,0,0,326,1049,16,206,0.00,0.00,0.00%,0.00%
Android,03/06/2022,CM,0,0,0,12,82,0,10,0.00,0.00,0.00%,0.00%
Android,03/06/2022,BY,0,0,0,2146,2944,192,971,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,NL,1,0,144,2318,2917,103,1045,0.14,144.00,0.10%,0.00%
Android,03/06/2022,ZA,3,1,36,1859,3944,198,887,0.04,12.00,0.34%,33.33%
iOS,03/06/2022,CO,0,0,0,768,972,26,251,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,BG,0,0,0,196,335,13,94,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,BO,0,0,0,34,41,0,20,0.00,0.00,0.00%,0.00%
Android,03/06/2022,MM,0,0,0,12,130,4,26,0.00,0.00,0.00%,0.00%
Android,03/06/2022,JM,0,0,0,116,546,23,114,0.00,0.00,0.00%,0.00%
Android,03/06/2022,OM,0,0,0,217,392,42,120,0.00,0.00,0.00%,0.00%
Android,03/06/2022,LV,0,0,0,604,643,36,205,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,BS,0,0,0,32,169,1,42,0.00,0.00,0.00%,0.00%
Android,03/06/2022,AZ,0,0,0,280,520,62,198,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,AF,0,0,0,44,85,0,19,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,PY,0,0,0,24,53,1,8,0.00,0.00,0.00%,0.00%
Android,03/06/2022,PT,0,0,0,1028,1922,110,653,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,MV,0,0,0,102,224,0,59,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,CL,1,0,84,545,709,29,270,0.31,84.00,0.37%,0.00%
iOS,03/06/2022,GU,0,0,0,132,265,0,61,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,MK,0,0,0,5,22,1,11,0.00,0.00,0.00%,0.00%
Android,03/06/2022,NA,0,0,0,17,55,2,14,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,NC,0,0,0,77,94,0,20,0.00,0.00,0.00%,0.00%
Android,03/06/2022,LU,0,0,0,47,130,7,36,0.00,0.00,0.00%,0.00%
Android,03/06/2022,UZ,0,0,0,82,391,25,82,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,CN,45,25,1872,127850,121336,4344,40492,0.05,41.60,0.11%,55.56%
iOS,03/06/2022,US,151,77,3048,86014,144031,3592,44702,0.07,20.19,0.34%,50.99%
Android,03/06/2022,RU,4,3,186,37544,39979,2870,11071,0.02,46.50,0.04%,75.00%
Android,03/06/2022,EC,0,0,0,2141,5928,314,1435,0.00,0.00,0.00%,0.00%
Android,03/06/2022,MD,0,0,0,702,680,41,209,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,CY,0,0,0,252,210,2,54,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,TN,0,0,0,118,217,1,41,0.00,0.00,0.00%,0.00%
Android,03/06/2022,ME,0,0,0,5,52,2,18,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,AZ,0,0,0,68,272,12,96,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,IM,0,0,0,29,29,0,12,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,IE,1,1,12,756,856,23,276,0.04,12.00,0.36%,100.00%
Android,03/06/2022,PY,0,0,0,370,588,30,160,0.00,0.00,0.00%,0.00%
Android,03/06/2022,BD,0,0,0,1237,2718,185,714,0.00,0.00,0.00%,0.00%
Android,03/06/2022,MT,1,0,6,158,355,6,88,0.07,6.00,1.14%,0.00%
Android,03/06/2022,BR,12,6,384,49414,70470,3424,19436,0.02,32.00,0.06%,50.00%
Android,03/06/2022,US,88,60,1914,86532,99823,3822,31172,0.06,21.75,0.28%,68.18%
Android,03/06/2022,SA,0,0,0,1714,2621,395,756,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,UY,0,0,0,108,223,2,47,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,KH,0,0,0,209,791,46,196,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,AM,0,0,0,305,364,8,91,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,MO,0,0,0,283,526,2,122,0.00,0.00,0.00%,0.00%
Android,03/06/2022,KW,0,0,0,277,438,42,136,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,PA,0,0,0,167,125,4,44,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,IT,4,2,42,5095,7471,211,2399,0.02,10.50,0.17%,50.00%
iOS,03/06/2022,IN,1,0,24,1084,2320,109,642,0.04,24.00,0.16%,0.00%
iOS,03/06/2022,BF,0,0,0,0,1,0,1,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,BD,0,0,0,337,457,0,94,0.00,0.00,0.00%,0.00%
Android,03/06/2022,NI,0,0,0,156,494,29,163,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,JP,27,13,858,37325,37680,456,11520,0.07,31.78,0.23%,48.15%
iOS,03/06/2022,AW,0,0,0,34,73,0,20,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,MQ,0,0,0,58,44,0,16,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,CZ,1,1,6,602,942,25,271,0.02,6.00,0.37%,100.00%
Android,03/06/2022,AO,0,0,0,0,14,2,10,0.00,0.00,0.00%,0.00%
Android,03/06/2022,UA,0,0,0,7550,11263,725,3344,0.00,0.00,0.00%,0.00%
iOS,03/06/2022,FR,7,5,84,8015,10354,286,3122,0.03,12.00,0.22%,71.43%
